Customer ID,Customer Name,Email,Member Since,Subscription Plan,Subscription Rate,Discount?,Cancellation Date
6127,Chord Coleman,Email: lyrical.chord@email.com,4/12/23,Basic (Ads),$2.99,,
6133,Benny Wallace,Email: resonant.benny@email.com,3/31/23,Basic (Ads),$2.99,,5/28/23
6139,Alto Lane,Email: lofi.alto@email.com,4/26/23,Basic (Ads),$2.99,,
6160,Bobby Murphy,Email: musical.bobby@email.edu,3/22/23,Basic (Ads),$2.99,,6/1/23
6163,Allegra Banks,Email: classic.allegra@email.edu,4/5/23,Basic (Ads),$2.99,,
6169,Jazz Franklin,Email: lofi.jazz@email.edu,3/13/23,Basic (Ads),$2.99,,5/28/23
6188,Greta Dixon,Email: classic.greta@email.edu,4/12/23,Basic (Ads),$2.99,,
6200,Carol Bell,Email: acoustic.carol@email.edu,4/4/23,Basic (Ads),$2.99,,
6235,Rhythm Murphy,Email: sonorous.rhythm@email.com,3/22/23,Basic (Ads),$2.99,,
6290,Rhythm Banks,Email: jazzy.rhythm@email.edu,4/20/23,Basic (Ads),$2.99,,7/5/23
6291,Forte Singer,Email: harmonic.forte@email.edu,4/10/23,Basic (Ads),$2.99,,
6307,Alto Cross,Email: classic.alto@email.com,4/28/23,Basic (Ads),$2.99,,
6312,Vivace Murphy,Email: hipster.vivace@email.com,3/24/23,Basic (Ads),$2.99,,6/4/23
6343,Tempo Heart,Email: vivid.tempo@email.com,4/24/23,Basic (Ads),$2.99,,7/7/23
6403,Rhythm Franklin,Email: vibrant.rhythm@email.edu,4/28/23,Basic (Ads),$2.99,,
6424,Coda Coleman,Email: harmonic.coda@email.com,3/16/23,Basic (Ads),$2.99,,
6489,Reed Bell,Email: classic.reed@email.edu,5/2/23,Basic (Ads),$2.99,,7/12/23
6519,Harmony Moon,Email: rhythmic.harmony@email.com,3/30/23,Basic (Ads),$2.99,,
6528,Bass Bassett,Email: vibrant.bass@email.com,4/27/23,Basic (Ads),$2.99,,6/18/23
6535,Aria Saunders,Email: harmonic.aria@email.com,4/5/23,Basic (Ads),$2.99,,
6545,Rock Stone,Email: resonant.rock@email.edu,4/17/23,Basic (Ads),$2.99,,6/24/23
6584,Carol Parks,Email: funky.carol@email.com,5/5/23,Basic (Ads),$2.99,,
6588,Lyric Banks,Email: classic.lyric@email.edu,4/5/23,Basic (Ads),$2.99,,
6604,Carol Saunders,Email: chill.carol@email.com,3/28/23,Basic (Ads),$2.99,,
6612,Melody Nash,Email: classic.melody@email.edu,5/9/23,Basic (Ads),$2.99,,6/24/23
6638,Melody Kingbird,Email: acoustic.melody@email.com,4/18/23,Basic (Ads),$2.99,,6/18/23
6654,Greta Reed,Email: sonorous.greta@email.edu,3/23/23,Basic (Ads),$2.99,,
6674,Cadence Keys,Email: smooth.cadence@email.edu,3/30/23,Basic (Ads),$2.99,,6/14/23
6679,Carol Drummond,Email: jazzy.carol@email.com,5/2/23,Basic (Ads),$2.99,,6/17/23
6697,Rhythm Reed,Email: classic.rhythm@email.com,4/5/23,Basic (Ads),$2.99,,
6743,Forte Beat,Email: hipster.forte@email.com,4/6/23,Basic (Ads),$2.99,,
6753,Solo Sharp,Email: digital.solo@email.com,3/15/23,Basic (Ads),$2.99,,
6790,Bass Banks,Email: funky.bass@email.com,3/22/23,Basic (Ads),$2.99,,
6796,Forte Star,Email: rhythmic.forte@email.com,3/31/23,Basic (Ads),$2.99,,
6824,Alto Rivers,Email: digital.alto@email.edu,3/29/23,Basic (Ads),$2.99,,
6827,Rock Kingbird,Email: classic.rock@email.edu,4/24/23,Basic (Ads),$2.99,,6/13/23
6832,Tempo Banks,Email: funky.tempo@email.edu,4/17/23,Basic (Ads),$2.99,,
6876,Rhythm Coleman,Email: musical.rhythm@email.com,3/27/23,Basic (Ads),$2.99,,6/5/23
6891,Benny Star,Email: vibrant.benny@email.com,4/4/23,Basic (Ads),$2.99,,6/19/23
6964,Tempo Bell,Email: soulful.tempo@email.com,3/16/23,Basic (Ads),$2.99,,
6982,Melody Hunter,Email: lofi.melody@email.com,3/29/23,Basic (Ads),$2.99,,
7045,Jazz Greene,Email: electric.jazz@email.edu,4/26/23,Basic (Ads),$2.99,,
7060,Adagio Wallace,Email: rhythmic.adagio@email.com,4/19/23,Basic (Ads),$2.99,,7/3/23
7103,Rhythm Fitzgerald,Email: harmonic.rhythm@email.com,4/28/23,Basic (Ads),$2.99,,6/27/23
7144,Rhythm Star,Email: groovy.rhythm@email.edu,4/25/23,Basic (Ads),$2.99,,
7167,Rock Brooks,Email: electric.rock@email.com,4/5/23,Basic (Ads),$2.99,,5/31/23
7170,Clef Brooks,Email: melodic.clef@email.com,4/7/23,Basic (Ads),$2.99,,
7200,Alto Rhodes,Email: indie.alto@email.edu,3/20/23,Basic (Ads),$2.99,,5/22/23
7266,Rock Hayes,Email: modern.rock@email.com,4/18/23,Basic (Ads),$2.99,,
7286,Aria Hunter,Email: sonorous.aria@email.com,4/28/23,Basic (Ads),$2.99,,
7287,Solo Bass,Email: vivid.solo@email.com,4/12/23,Basic (Ads),$2.99,,6/3/23
7296,Tempo Hunter,Email: ambient.tempo@email.com,4/21/23,Basic (Ads),$2.99,,
7340,Adagio Stone,Email: melodic.adagio@email.com,4/10/23,Basic (Ads),$2.99,,
7504,Alto Banks,Email: jazzy.alto@email.edu,5/5/23,Basic (Ads),$2.99,,
7536,Greta Beat,Email: digital.greta@email.com,3/23/23,Basic (Ads),$2.99,,
7546,Cadence Fields,Email: melodic.cadence@email.edu,4/3/23,Basic (Ads),$2.99,,
7547,Tempo Greene,Email: soulful.tempo@email.com,5/12/23,Basic (Ads),$2.99,,6/29/23
7579,Melody Star,Email: retro.melody@email.com,3/22/23,Basic (Ads),$2.99,,
7584,Treble Sharp,Email: electric.treble@email.edu,4/19/23,Basic (Ads),$2.99,,
7591,Treble Brooks,Email: harmonic.treble@email.com,4/26/23,Basic (Ads),$2.99,,
7615,Bobby Rhodes,Email: funky.bobby@email.com,4/7/23,Basic (Ads),$2.99,,6/12/23
7621,Vivace Moon,Email: melodious.vivace@email.com,3/23/23,Basic (Ads),$2.99,,6/13/23
7646,Kiki Murphy,Email: melodic.kiki@email.com,5/10/23,Basic (Ads),$2.99,,
7664,Kiki Banks,Email: lyrical.kiki@email.com,5/2/23,Basic (Ads),$2.99,,
7677,Kiki Saxton,Email: lofi.kiki@email.edu,3/28/23,Basic (Ads),$2.99,,
7697,Cadence Franklin,Email: lyrical.cadence@email.com,4/14/23,Basic (Ads),$2.99,,
7705,Allegra Keys,Email: jazzy.allegra@email.com,3/22/23,Basic (Ads),$2.99,,
7724,Aria Singer,Email: harmonic.aria@email.com,4/7/23,Basic (Ads),$2.99,,
7803,Harmony Cross,Email: modern.harmony@email.com,3/14/23,Basic (Ads),$2.99,,
7927,Tempo Parks,Email: funky.tempo@email.edu,3/31/23,Basic (Ads),$2.99,,5/20/23
8006,Rock Groove,Email: retro.rock@email.edu,3/28/23,Basic (Ads),$2.99,,6/4/23
8044,Benny Saxton,Email: rhythmic.benny@email.com,3/27/23,Basic (Ads),$2.99,,
8111,Solo Franklin,Email: classic.solo@email.edu,4/7/23,Basic (Ads),$2.99,,
8116,Tempo Lake,Email: jazzy.tempo@email.edu,3/15/23,Basic (Ads),$2.99,,
8119,Sonata Fitzgerald,Email: soulful.sonata@email.com,3/21/23,Basic (Ads),$2.99,,5/7/23
8139,Aria Bass,Email: musical.aria@email.com,3/20/23,Basic (Ads),$2.99,,
8150,Clef Bass,Email: retro.clef@email.edu,5/4/23,Basic (Ads),$2.99,,
8257,Tenor Lane,Email: hipster.tenor@email.com,4/7/23,Basic (Ads),$2.99,,6/22/23
8258,Treble Keys,Email: indie.treble@email.edu,4/14/23,Basic (Ads),$2.99,,
8295,Melody Rivers,Email: rhythmic.melody@email.com,3/23/23,Basic (Ads),$2.99,,6/1/23
8346,Rock Bassett,Email: vibrant.rock@email.com,4/19/23,Basic (Ads),$2.99,,
8432,Lyric Bass,Email: classic.lyric@email.edu,4/17/23,Basic (Ads),$2.99,,
8456,Solo Wood,Email: melodic.solo@email.edu,3/24/23,Basic (Ads),$2.99,,
8470,Adagio Nash,Email: tuneful.adagio@email.edu,4/24/23,Basic (Ads),$2.99,,
8483,Harmony Franklin,Email: tuneful.harmony@email.com,5/2/23,Basic (Ads),$2.99,,
8492,Bass Rhodes,Email: hipster.bass@email.edu,4/4/23,Basic (Ads),$2.99,,
8502,Symphony Hunter,Email: classic.symphony@email.com,4/13/23,Basic (Ads),$2.99,,
8510,Treble Star,Email: vibrant.treble@email.edu,4/24/23,Basic (Ads),$2.99,,
8527,Treble Bell,Email: classic.treble@email.edu,3/27/23,Basic (Ads),$2.99,,
8566,Harmony Sharp,Email: lofi.harmony@email.com,3/15/23,Basic (Ads),$2.99,,
8582,Bobby Campbell,Email: lofi.bobby@email.com,3/14/23,Basic (Ads),$2.99,,
8593,Beatrice Singer,Email: funky.beatrice@email.edu,4/6/23,Basic (Ads),$2.99,,6/11/23
8598,Sonata Banks,Email: dynamic.sonata@email.com,3/22/23,Basic (Ads),$2.99,,5/20/23
8608,Coda Hayes,Email: retro.coda@email.com,3/28/23,Basic (Ads),$2.99,,6/13/23
8611,Clef Banks,Email: hipster.clef@email.edu,4/25/23,Basic (Ads),$2.99,,7/22/23
8657,Aria Lane,Email: jazzy.aria@email.com,4/12/23,Basic (Ads),$2.99,,7/10/23
8681,Greta Bass,Email: rhythmic.greta@email.edu,3/21/23,Basic (Ads),$2.99,,
8733,Chord Lane,Email: modern.chord@email.com,4/17/23,Basic (Ads),$2.99,,6/16/23
8750,Solo Campbell,Email: chill.solo@email.com,5/10/23,Basic (Ads),$2.99,,
8752,Sonata Wood,Email: digital.sonata@email.edu,3/27/23,Basic (Ads),$2.99,,
8770,Jazz Bell,Email: modern.jazz@email.com,3/23/23,Basic (Ads),$2.99,,
8811,Chord Banks,Email: melodic.chord@email.com,3/15/23,Basic (Ads),$2.99,,5/21/23
8814,Symphony Saunders,Email: lofi.symphony@email.com,3/30/23,Basic (Ads),$2.99,,
8853,Rhythm Sharp,Email: beatful.rhythm@email.edu,3/14/23,Basic (Ads),$2.99,,
8872,Solo Greene,Email: classic.solo@email.edu,3/31/23,Basic (Ads),$2.99,,6/8/23
8899,Coda Lake,Email: jazzy.coda@email.com,4/13/23,Basic (Ads),$2.99,,6/12/23
8910,Vivace Cross,Email: harmonic.vivace@email.com,4/5/23,Basic (Ads),$2.99,,
8923,Benny Wood,Email: retro.benny@email.edu,3/30/23,Basic (Ads),$2.99,,
8946,Alto Dixon,Email: classic.alto@email.com,3/14/23,Basic (Ads),$2.99,,
8981,Aria Franklin,Email: ambient.aria@email.com,3/20/23,Basic (Ads),$2.99,,6/1/23
9002,Jazz Campbell,Email: dynamic.jazz@email.com,3/16/23,Basic (Ads),$2.99,,5/29/23
9010,Tenor Saunders,Email: soulful.tenor@email.edu,4/27/23,Basic (Ads),$2.99,,
9012,Greta Saunders,Email: vibrant.greta@email.com,4/3/23,Basic (Ads),$2.99,,6/7/23
9033,Reed Hill,Email: soulful.reed@email.com,3/31/23,Basic (Ads),$2.99,,6/13/23
9040,Alto Hill,Email: vibrant.alto@email.com,4/13/23,Basic (Ads),$2.99,,6/1/23
9061,Forte Keys,Email: melodious.forte@email.com,4/28/23,Basic (Ads),$2.99,,6/21/23
9073,Beatrice Moon,Email: ambient.beatrice@email.com,4/12/23,Basic (Ads),$2.99,,
9092,Melody Hill,Email: retro.melody@email.com,4/27/23,Basic (Ads),$2.99,,
9119,Carol Rhodes,Email: hipster.carol@email.com,3/20/23,Basic (Ads),$2.99,,5/5/23
9272,Lyric Coleman,Email: jazzy.lyric@email.com,3/13/23,Basic (Ads),$2.99,,
9304,Allegra Greene,Email: melodic.allegra@email.edu,5/5/23,Basic (Ads),$2.99,,
9315,Carol Keys,Email: digital.carol@email.com,3/29/23,Basic (Ads),$2.99,,
9333,Forte Flat,Email: lofi.forte@email.edu,3/31/23,Basic (Ads),$2.99,,
9339,Allegra Bassett,Email: classic.allegra@email.edu,5/5/23,Basic (Ads),$2.99,,
9342,Coda Dixon,Email: melodious.coda@email.com,5/9/23,Basic (Ads),$2.99,,
9345,Kiki Sharp,Email: melodious.kiki@email.com,3/21/23,Basic (Ads),$2.99,,6/4/23
9351,Cadence Singer,Email: lyrical.cadence@email.com,3/28/23,Basic (Ads),$2.99,,6/15/23
9371,Rhythm Moon,Email: chill.rhythm@email.edu,3/27/23,Basic (Ads),$2.99,,
9374,Cadence Drummond,Email: funky.cadence@email.com,3/29/23,Basic (Ads),$2.99,,
9386,Sonata Singer,Email: groovy.sonata@email.com,3/27/23,Basic (Ads),$2.99,,5/17/23
9422,Bobby Sharp,Email: tuneful.bobby@email.com,3/16/23,Basic (Ads),$2.99,,
9462,Treble Rhodes,Email: groovy.treble@email.com,4/12/23,Basic (Ads),$2.99,,
9506,Solo Drummond,Email: tuneful.solo@email.com,4/19/23,Basic (Ads),$2.99,,
9552,Jazz Heart,Email: acoustic.jazz@email.edu,3/23/23,Basic (Ads),$2.99,,5/15/23
9554,Clef Hill,Email: classic.clef@email.com,4/7/23,Basic (Ads),$2.99,,
9557,Benny Nash,Email: groovy.benny@email.edu,4/19/23,Basic (Ads),$2.99,,7/11/23
9562,Beatrice Heart,Email: resonant.beatrice@email.edu,4/10/23,Basic (Ads),$2.99,,
9563,Cadence Cross,Email: melodious.cadence@email.edu,4/7/23,Basic (Ads),$2.99,,6/3/23
9616,Bobby Parks,Email: vivid.bobby@email.com,4/19/23,Basic (Ads),$2.99,,7/2/23
9669,Melody Coleman,Email: digital.melody@email.com,5/1/23,Basic (Ads),$2.99,,
9673,Alto Murphy,Email: melodic.alto@email.com,4/25/23,Basic (Ads),$2.99,,
9741,Rock Rivers,Email: melodious.rock@email.edu,5/1/23,Basic (Ads),$2.99,,
9803,Symphony Parks,Email: vibrant.symphony@email.com,3/13/23,Basic (Ads),$2.99,,
9808,Adagio Flat,Email: vivid.adagio@email.com,3/15/23,Basic (Ads),$2.99,,
9861,Solo Groove,Email: musical.solo@email.com,5/8/23,Basic (Ads),$2.99,,
9889,Rhythm Wallace,Email: funky.rhythm@email.com,4/7/23,Basic (Ads),$2.99,,
9905,Allegra Stone,Email: harmonic.allegra@email.edu,3/31/23,Basic (Ads),$2.99,,6/8/23
9915,Adagio Bass,Email: chill.adagio@email.edu,4/6/23,Basic (Ads),$2.99,,6/12/23
9956,Tempo Hill,Email: hipster.tempo@email.edu,4/21/23,Basic (Ads),$2.99,,7/16/23
10038,Forte Hayes,Email: chill.forte@email.com,5/10/23,Basic (Ads),$2.99,,
10107,Coda Lane,Email: soulful.coda@email.edu,3/14/23,Basic (Ads),$2.99,,
10138,Bobby Keys,Email: rhythmic.bobby@email.com,4/6/23,Basic (Ads),$2.99,,
10147,Adagio Banks,Email: vibrant.adagio@email.com,5/10/23,Basic (Ads),$2.99,,
10155,Benny Beat,Email: indie.benny@email.com,4/26/23,Basic (Ads),$2.99,,
10168,Treble Fields,Email: vibrant.treble@email.com,4/26/23,Basic (Ads),$2.99,,
10180,Bass Flat,Email: vibrant.bass@email.com,3/22/23,Basic (Ads),$2.99,,
10183,Allegra Saunders,Email: indie.allegra@email.com,4/28/23,Basic (Ads),$2.99,,7/10/23
10310,Harmony Hill,Email: lofi.harmony@email.edu,3/15/23,Basic (Ads),$2.99,,
10313,Rock Heart,Email: indie.rock@email.com,3/28/23,Basic (Ads),$2.99,,
10413,Tenor Hayes,Email: jazzy.tenor@email.com,4/25/23,Basic (Ads),$2.99,,
10514,Vivace Keys,Email: vibrant.vivace@email.edu,5/11/23,Basic (Ads),$2.99,,
10539,Vivace Coleman,Email: sonorous.vivace@email.com,3/28/23,Basic (Ads),$2.99,,6/24/23
10559,Bobby Rivers,Email: retro.bobby@email.edu,4/7/23,Basic (Ads),$2.99,,
10573,Beatrice Greene,Email: digital.beatrice@email.edu,5/2/23,Basic (Ads),$2.99,,6/18/23
10574,Benny Bassett,Email: acoustic.benny@email.com,3/23/23,Basic (Ads),$2.99,,
10635,Reed Reed,Email: hipster.reed@email.com,4/7/23,Basic (Ads),$2.99,,
10718,Cadence Flat,Email: harmonic.cadence@email.edu,4/20/23,Basic (Ads),$2.99,,
10804,Tempo Rivers,Email: rhythmic.tempo@email.com,4/19/23,Basic (Ads),$2.99,,
10820,Sonata Reed,Email: lyrical.sonata@email.com,3/22/23,Basic (Ads),$2.99,,
10881,Bass Wallace,Email: hipster.bass@email.com,4/3/23,Basic (Ads),$2.99,,6/19/23
10925,Clef Hunter,Email: classic.clef@email.com,3/22/23,Basic (Ads),$2.99,,
10930,Chord Groove,Email: sonorous.chord@email.com,3/13/23,Basic (Ads),$2.99,,
10947,Benny Cross,Email: funky.benny@email.com,3/14/23,Basic (Ads),$2.99,,
10977,Jazz Brooks,Email: retro.jazz@email.edu,4/5/23,Basic (Ads),$2.99,,
11054,Symphony Star,Email: smooth.symphony@email.com,3/15/23,Basic (Ads),$2.99,,
11065,Rock Nash,Email: rhythmic.rock@email.com,5/10/23,Basic (Ads),$2.99,,
11118,Alto Wallace,Email: melodic.alto@email.com,4/12/23,Basic (Ads),$2.99,,
11126,Treble Hill,Email: modern.treble@email.com,3/31/23,Basic (Ads),$2.99,,
11201,Bass Sharp,Email: modern.bass@email.com,4/10/23,Basic (Ads),$2.99,,
11209,Forte Lake,Email: beatful.forte@email.com,3/14/23,Basic (Ads),$2.99,,5/29/23
11216,Kiki Lake,Email: hipster.kiki@email.com,3/14/23,Basic (Ads),$2.99,,
11224,Kiki Drummond,Email: dynamic.kiki@email.com,3/16/23,Basic (Ads),$2.99,,
11227,Treble Hayes,Email: indie.treble@email.edu,3/20/23,Basic (Ads),$2.99,,
11252,Jazz Star,Email: classic.jazz@email.com,3/29/23,Basic (Ads),$2.99,,6/9/23
11304,Aria Saxton,Email: sonorous.aria@email.com,3/15/23,Basic (Ads),$2.99,,
11396,Bobby Nash,Email: smooth.bobby@email.edu,5/11/23,Basic (Ads),$2.99,,
11482,Greta Wallace,Email: vibrant.greta@email.edu,4/5/23,Basic (Ads),$2.99,,
11484,Melody Moon,Email: beatful.melody@email.com,4/25/23,Basic (Ads),$2.99,,
11537,Coda Heart,Email: indie.coda@email.com,3/20/23,Basic (Ads),$2.99,,
11543,Solo Kingbird,Email: harmonic.solo@email.com,4/25/23,Basic (Ads),$2.99,,
11570,Reed Lake,Email: resonant.reed@email.com,4/18/23,Basic (Ads),$2.99,,
11572,Vivace Banks,Email: chill.vivace@email.com,3/30/23,Basic (Ads),$2.99,,
11596,Carol Brooks,Email: sonorous.carol@email.com,4/27/23,Basic (Ads),$2.99,,7/13/23
11615,Bobby Banks,Email: harmonic.bobby@email.com,4/21/23,Basic (Ads),$2.99,,
11658,Bobby Stone,Email: electric.bobby@email.com,5/11/23,Basic (Ads),$2.99,,
11669,Vivace Bassett,Email: melodic.vivace@email.edu,4/20/23,Basic (Ads),$2.99,,
11735,Chord Bassett,Email: resonant.chord@email.com,4/25/23,Basic (Ads),$2.99,,
11868,Bass Nash,Email: musical.bass@email.edu,3/15/23,Basic (Ads),$2.99,,4/29/23
11873,Greta Groove,Email: vibrant.greta@email.edu,3/13/23,Basic (Ads),$2.99,,5/24/23
11912,Melody Saxton,Email: rhythmic.melody@email.com,4/25/23,Basic (Ads),$2.99,,
11916,Symphony Murphy,Email: resonant.symphony@email.com,5/12/23,Basic (Ads),$2.99,,
11924,Allegra Lake,Email: beatful.allegra@email.com,4/21/23,Basic (Ads),$2.99,,
11930,Vivace Rivers,Email: harmonic.vivace@email.com,4/26/23,Basic (Ads),$2.99,,6/23/23
11932,Solo Fields,Email: vibrant.solo@email.edu,3/21/23,Basic (Ads),$2.99,,6/18/23
11939,Tenor Moon,Email: hipster.tenor@email.com,4/11/23,Basic (Ads),$2.99,,7/4/23
12019,Benny Parks,Email: melodious.benny@email.com,4/11/23,Basic (Ads),$2.99,,
12062,Bobby Singer,Email: modern.bobby@email.edu,3/16/23,Basic (Ads),$2.99,,
12123,Vivace Fitzgerald,Email: electric.vivace@email.edu,4/5/23,Basic (Ads),$2.99,,
12177,Sonata Bell,Email: rhythmic.sonata@email.com,4/5/23,Basic (Ads),$2.99,,
12179,Rock Dixon,Email: harmonic.rock@email.com,4/6/23,Basic (Ads),$2.99,,
12260,Benny Coleman,Email: lofi.benny@email.com,4/28/23,Basic (Ads),$2.99,,
12350,Carol Hunter,Email: vibrant.carol@email.com,3/17/23,Basic (Ads),$2.99,,5/15/23
12359,Solo Keys,Email: vivid.solo@email.com,4/21/23,Basic (Ads),$2.99,,
12397,Cadence Bell,Email: resonant.cadence@email.com,4/24/23,Basic (Ads),$2.99,,
12428,Treble Murphy,Email: electric.treble@email.edu,4/11/23,Basic (Ads),$2.99,,
12433,Rock Saxton,Email: vibrant.rock@email.com,4/11/23,Basic (Ads),$2.99,,
12454,Kiki Parks,Email: classic.kiki@email.com,4/6/23,Basic (Ads),$2.99,,6/23/23
12491,Bass Bell,Email: vivid.bass@email.com,3/28/23,Basic (Ads),$2.99,,
12508,Coda Star,Email: funky.coda@email.com,4/21/23,Basic (Ads),$2.99,,
12517,Harmony Singer,Email: soulful.harmony@email.com,4/12/23,Basic (Ads),$2.99,,
12527,Carol Rivers,Email: acoustic.carol@email.com,5/8/23,Basic (Ads),$2.99,,7/8/23
12573,Allegra Wallace,Email: tuneful.allegra@email.com,4/3/23,Basic (Ads),$2.99,,6/10/23
12579,Jazz Reed,Email: melodious.jazz@email.com,3/14/23,Basic (Ads),$2.99,,
12651,Adagio Hill,Email: smooth.adagio@email.edu,3/28/23,Basic (Ads),$2.99,,6/23/23
12668,Treble Wood,Email: soulful.treble@email.edu,3/22/23,Basic (Ads),$2.99,,5/28/23
12744,Jazz Hunter,Email: groovy.jazz@email.com,3/17/23,Basic (Ads),$2.99,,5/16/23
12749,Alto Bassett,Email: lofi.alto@email.com,4/12/23,Basic (Ads),$2.99,,6/20/23
12787,Greta Hunter,Email: digital.greta@email.edu,5/1/23,Basic (Ads),$2.99,,
12811,Greta Fitzgerald,Email: lyrical.greta@email.edu,4/14/23,Basic (Ads),$2.99,,6/16/23
12886,Rock Beat,Email: melodic.rock@email.edu,4/25/23,Basic (Ads),$2.99,,
12953,Forte Nash,Email: lyrical.forte@email.com,3/28/23,Basic (Ads),$2.99,,5/17/23
12956,Bass Singer,Email: jazzy.bass@email.com,3/16/23,Basic (Ads),$2.99,,
12962,Tempo Bassett,Email: classic.tempo@email.com,3/21/23,Basic (Ads),$2.99,,
12973,Jazz Drummond,Email: classic.jazz@email.edu,4/4/23,Basic (Ads),$2.99,,
13005,Rock Murphy,Email: harmonic.rock@email.com,3/14/23,Basic (Ads),$2.99,,
13085,Lyric Kingbird,Email: electric.lyric@email.com,4/12/23,Basic (Ads),$2.99,,6/25/23
13179,Reed Hunter,Email: digital.reed@email.com,3/17/23,Basic (Ads),$2.99,,
13201,Jazz Stone,Email: chill.jazz@email.edu,3/13/23,Basic (Ads),$2.99,,
13238,Solo Hill,Email: melodic.solo@email.com,3/15/23,Basic (Ads),$2.99,,
13279,Beatrice Campbell,Email: modern.beatrice@email.com,5/11/23,Basic (Ads),$2.99,,
13288,Bobby Dixon,Email: digital.bobby@email.com,5/3/23,Basic (Ads),$2.99,,7/14/23
13317,Harmony Hunter,Email: hipster.harmony@email.com,3/28/23,Basic (Ads),$2.99,,
13320,Rock Rhodes,Email: funky.rock@email.com,4/20/23,Basic (Ads),$2.99,,6/10/23
13348,Sonata Star,Email: groovy.sonata@email.com,4/17/23,Basic (Ads),$2.99,,
13423,Reed Star,Email: hipster.reed@email.com,4/20/23,Premium (No Ads),$9.99,,6/21/23
13479,Clef Rivers,Email: tuneful.clef@email.edu,3/31/23,Premium (No Ads),$9.99,,
13565,Symphony Lake,Email: melodious.symphony@email.com,3/22/23,Premium (No Ads),$9.99,,6/11/23
